,name,transcripts,condition,location,meaning,function,process
24,YOR266W,10.263279784337836,IFFABN,membrane,E2B1 ethanol,molecular_function,protein ion  
25,YOR301W,27.32431630895138,IFFABN,membrane,E2B1 ethanol,molecular_function,protein ion  
26,YDR393W,12.300554937476104,SAARRS,membrane,wild type salt stress,molecular_function,protein ion  
27,YBR039W,20.01047214709031,SAARRS,membrane,wild type salt stress,molecular_function,protein ion  
28,YPR194C,4.21727213356413,SAABQR,membrane,37 deg temperature,molecular_function,protein ion  
29,YNL261W,7.00664897781127,SAABQR,membrane,37 deg temperature,molecular_function,protein ion  
30,YPL089C,1.0956666182150416,FAFASB,membrane,tet-control strain tet-control,molecular_function,protein ion  
31,YOR191W,4.120775427530718,FAFASB,membrane,tet-control strain tet-control,molecular_function,protein ion  
32,YCR028C,1.501581916549085,SAABBN,membrane,15 deg temperature,molecular_function,protein ion  
33,YDR272W,13.914659093354851,SAABBN,membrane,15 deg temperature,molecular_function,protein ion  
34,YBL106C,0.9423227785329448,SAABFA,membrane,15 deg temperature,molecular_function,protein ion  
35,YER171W,7.821279061823441,SAABFA,membrane,15 deg temperature,molecular_function,protein ion  
36,YLR179C,9.571956349513435,SAASCF,membrane,ste12 galactose,molecular_function,protein ion  
37,YEL062W,32.46141718530644,SAASCF,membrane,ste12 galactose,molecular_function,protein ion  
38,YOR141C,22.93751570818196,INICIQ,membrane,YB212 biofuel generation,molecular_function,protein ion  
39,YDR038C,22.402009504878105,INICIQ,membrane,YB212 biofuel generation,molecular_function,protein ion  
40,YER107C,13.134816878295585,IFFAFQ,membrane,G2A2 glucose,molecular_function,protein ion  
41,YJL173C,21.37901045084281,IFFAFQ,membrane,G2A2 glucose,molecular_function,protein ion  
42,YDR333C,4.505896190460026,SAABRQ,membrane,wild type none,molecular_function,protein ion  
43,YLR092W,15.41391988486534,SAABRQ,membrane,wild type none,molecular_function,protein ion  
44,YLR431C,9.612825854281285,IFFAFB,membrane,G1B2 glucose,molecular_function,protein ion  
45,YJR033C,22.273620881871267,IFFAFB,membrane,G1B2 glucose,molecular_function,protein ion  
46,YLR164W,88.72578181469348,IFFABF,membrane,E1B1 ethanol,kinase,protein ion  
47,YKR104W,99.4286151334572,SAASCC,membrane,pbs2 galactose,kinase,protein ion  
48,YMR197C,66.76237764905042,IFFAFF,membrane,G2A1 glucose,kinase,protein ion  
49,YDR213W,66.42237019596062,IFFAFA,membrane,G1A1 glucose,kinase,protein ion  
50,YEL061C,70.8803989922096,INICIA,membrane,YB210 biofuel generation,kinase,protein ion  
51,YML027W,98.49275733371002,INICIF,membrane,YB211 biofuel generation,kinase,protein ion  
52,YHR194W,34.68001810073203,SAABQI,membrane,30 deg temperature,kinase,protein ion  
53,YGR288W,29.162328055605453,FFNAAA,membrane,Strain6 phenol lysis,kinase,protein ion  
54,YLR309C,24.29276113767001,FFNARN,membrane,Strain6 phenol lysis,kinase,protein ion  
55,YLR372W,30.22120382998564,FFNAAR,membrane,Strain6 phenol lysis,kinase,protein ion  
56,YOR295W,25.21844602845406,IFAAAR,membrane,DDY3630 strain W303,kinase,protein ion  
57,YJR132W,10.769576187262585,AFIINC,membrane,itc1 itc1-1_dUTP,kinase,protein ion  
58,YPL058C,90.50346718916092,IFFABN,membrane,E2B1 ethanol,kinase,protein ion  
59,YHR071W,125.26163201879572,SAARRS,membrane,wild type salt stress,kinase,protein ion  
60,YJL170C,38.28751787401135,SAABQR,membrane,37 deg temperature,kinase,protein ion  
61,YLR389C,45.52895652324309,FAFASB,membrane,tet-control strain tet-control,kinase,protein ion  
62,YPR088C,33.68548766125113,SAABBN,membrane,15 deg temperature,kinase,protein ion  
63,YCL028W,26.856199188188924,SAABFA,membrane,15 deg temperature,kinase,protein ion  
64,YMR314W,112.78261611818006,SAASCF,membrane,ste12 galactose,kinase,protein ion  
65,YGR090W,59.88744373614824,INICIQ,membrane,YB212 biofuel generation,kinase,protein ion  
66,YGL244W,70.84417188612618,IFFAFQ,membrane,G2A2 glucose,kinase,protein ion  
67,YNL229C,40.740811388742735,SAABRQ,membrane,wild type none,kinase,protein ion  
68,YEL037C,71.39281640557685,IFFAFB,membrane,G1B2 glucose,kinase,protein ion  
69,YOL126C,207.31964859670956,IFFABF,membrane,E1B1 ethanol,peptidase,protein ion  
70,YDR470C,156.0000685714587,SAASCC,membrane,pbs2 galactose,peptidase,protein ion  
71,YLR347C,258.2025835033631,IFFAFF,membrane,G2A1 glucose,peptidase,protein ion  
72,YML120C,281.9780796424701,IFFAFA,membrane,G1A1 glucose,peptidase,protein ion  
73,YIL063C,148.20447062007463,INICIA,membrane,YB210 biofuel generation,peptidase,protein ion  
74,YBR071W,324.30878500217403,INICIF,membrane,YB211 biofuel generation,peptidase,protein ion  
75,YER053C,30.76453218613325,SAABQI,membrane,30 deg temperature,peptidase,protein ion  
76,YJR121W,23.72196097296309,FFNAAA,membrane,Strain6 phenol lysis,peptidase,protein ion  
77,YMR083W,21.46348373609398,FFNARN,membrane,Strain6 phenol lysis,peptidase,protein ion  
78,YIL047C,26.0590021048978,FFNAAR,membrane,Strain6 phenol lysis,peptidase,protein ion  
79,YLR081W,84.88838184522847,IFAAAR,membrane,DDY3630 strain W303,peptidase,protein ion  
80,YGL008C,11.20899743012561,AFIINC,membrane,itc1 itc1-1_dUTP,peptidase,protein ion  
81,YDL127W,227.3916274296149,IFFABN,membrane,E2B1 ethanol,peptidase,protein ion  
82,YPR008W,287.91538159872295,SAARRS,membrane,wild type salt stress,peptidase,protein ion  
83,YMR216C,30.782765888298805,SAABQR,membrane,37 deg temperature,peptidase,protein ion  
84,YGR065C,35.88709028295072,FAFASB,membrane,tet-control strain tet-control,peptidase,protein ion  
85,YJL128C,30.58221836704969,SAABBN,membrane,15 deg temperature,peptidase,protein ion  
86,YHR082C,24.264811547223328,SAABFA,membrane,15 deg temperature,peptidase,protein ion  
87,YKL141W,235.86001366489864,SAASCF,membrane,ste12 galactose,peptidase,protein ion  
88,YLR248W,222.59207850663745,INICIQ,membrane,YB212 biofuel generation,peptidase,protein ion  
89,YJL048C,275.2722260664074,IFFAFQ,membrane,G2A2 glucose,peptidase,protein ion  
90,YIL113W,198.1280104080194,SAABRQ,membrane,wild type none,peptidase,protein ion  
91,YGR135W,281.233771029522,IFFAFB,membrane,G1B2 glucose,peptidase,protein ion  
92,YGL011C,53.85040024990802,IFFABF,membrane,E1B1 ethanol,molecular_function,ion membrane organization  
93,YMR123W,33.94663972536754,SAASCC,membrane,pbs2 galactose,molecular_function,ion membrane organization  
94,YLR240W,36.39096814476929,IFFAFF,membrane,G2A1 glucose,molecular_function,ion membrane organization  
95,YJR080C,42.52592276863265,IFFAFA,membrane,G1A1 glucose,molecular_function,ion membrane organization  
96,YNR038W,51.54938108524335,INICIA,membrane,YB210 biofuel generation,molecular_function,ion membrane organization  
97,YGL253W,47.31514813089991,INICIF,membrane,YB211 biofuel generation,molecular_function,ion membrane organization  
98,YHL032C,11.117183221807242,SAABQI,membrane,30 deg temperature,molecular_function,ion membrane organization  
99,YOL023W,17.938507677901843,FFNAAA,membrane,Strain6 phenol lysis,molecular_function,ion membrane organization  
100,YML007W,13.658580559332531,FFNARN,membrane,Strain6 phenol lysis,molecular_function,ion membrane organization  
101,YHR092C,17.282185423734305,FFNAAR,membrane,Strain6 phenol lysis,molecular_function,ion membrane organization  
102,YAL042W,14.038676174640065,IFAAAR,membrane,DDY3630 strain W303,molecular_function,ion membrane organization  
103,YBR195C,3.4195986463827666,AFIINC,membrane,itc1 itc1-1_dUTP,molecular_function,ion membrane organization  
104,YGR213C,62.37941479311827,IFFABN,membrane,E2B1 ethanol,molecular_function,ion membrane organization  
105,YDR384C,30.15303499027236,SAARRS,membrane,wild type salt stress,molecular_function,ion membrane organization  
106,YNL213C,15.540813846519786,SAABQR,membrane,37 deg temperature,molecular_function,ion membrane organization  
107,YDL031W,6.739685880825208,FAFASB,membrane,tet-control strain tet-control,molecular_function,ion membrane organization  
108,YDR514C,11.612233487979587,SAABBN,membrane,15 deg temperature,molecular_function,ion membrane organization  
109,YIL019W,11.260757203468687,SAABFA,membrane,15 deg temperature,molecular_function,ion membrane organization  
110,YDR033W,45.078000382834446,SAASCF,membrane,ste12 galactose,molecular_function,ion membrane organization  
111,YGL245W,53.63987136426989,INICIQ,membrane,YB212 biofuel generation,molecular_function,ion membrane organization  
112,YML069W,38.00712969038722,IFFAFQ,membrane,G2A2 glucose,molecular_function,ion membrane organization  
113,YLL015W,23.80615153959714,SAABRQ,membrane,wild type none,molecular_function,ion membrane organization  
114,YDR173C,41.49927259043383,IFFAFB,membrane,G1B2 glucose,molecular_function,ion membrane organization  
115,YCR024C,119.99942372165476,IFFABF,membrane,E1B1 ethanol,molecular_function,transport   
116,YGL112C,39.6191362360661,IFFABF,membrane,E1B1 ethanol,molecular_function,transport   
117,YCR075C,96.1049557477967,IFFABF,membrane,E1B1 ethanol,molecular_function,transport   
118,YOR154W,205.8462443280195,SAASCC,membrane,pbs2 galactose,molecular_function,transport   
119,YBL050W,17.142864678182278,SAASCC,membrane,pbs2 galactose,molecular_function,transport   
120,YJR090C,57.87129702349006,SAASCC,membrane,pbs2 galactose,molecular_function,transport   
121,YPR174C,59.10112119752005,IFFAFF,membrane,G2A1 glucose,molecular_function,transport   
122,YPL018W,32.74275078689768,IFFAFF,membrane,G2A1 glucose,molecular_function,transport   
123,YDR311W,100.32597734146924,IFFAFF,membrane,G2A1 glucose,molecular_function,transport   
124,YJR045C,69.05585623897227,IFFAFA,membrane,G1A1 glucose,molecular_function,transport   
125,YJR041C,37.6490967630555,IFFAFA,membrane,G1A1 glucose,molecular_function,transport   
126,YHR002W,115.09309373162046,IFFAFA,membrane,G1A1 glucose,molecular_function,transport   
127,YKL062W,91.8223350580897,INICIA,membrane,YB210 biofuel generation,molecular_function,transport   
128,YKR028W,62.82580819764033,INICIA,membrane,YB210 biofuel generation,molecular_function,transport   
129,YNL100W,40.272953972846366,INICIA,membrane,YB210 biofuel generation,molecular_function,transport   
130,YDR093W,122.49519399486624,INICIF,membrane,YB211 biofuel generation,molecular_function,transport   
131,YDL175C,53.38472981533022,INICIF,membrane,YB211 biofuel generation,molecular_function,transport   
132,YOR372C,66.07567333732086,INICIF,membrane,YB211 biofuel generation,molecular_function,transport   
133,YMR282C,37.33695497135263,SAABQI,membrane,30 deg temperature,molecular_function,transport   
134,YFL026W,13.354603744435115,SAABQI,membrane,30 deg temperature,molecular_function,transport   
135,YOL124C,21.045736790968427,SAABQI,membrane,30 deg temperature,molecular_function,transport   
136,YJL156C,20.53616042907342,FFNAAA,membrane,Strain6 phenol lysis,molecular_function,transport   
137,YPL098C,13.870485444935031,FFNAAA,membrane,Strain6 phenol lysis,molecular_function,transport   
138,YDR228C,55.38391714762045,FFNAAA,membrane,Strain6 phenol lysis,molecular_function,transport   
139,YKR024C,14.82931603584675,FFNARN,membrane,Strain6 phenol lysis,molecular_function,transport   
140,YKL197C,9.561006391532771,FFNARN,membrane,Strain6 phenol lysis,molecular_function,transport   
141,YLR083C,47.31722550911628,FFNARN,membrane,Strain6 phenol lysis,molecular_function,transport   
142,YBR170C,19.272803640080664,FFNAAR,membrane,Strain6 phenol lysis,molecular_function,transport   
143,YOR327C,10.586469605114733,FFNAAR,membrane,Strain6 phenol lysis,molecular_function,transport   
144,YDL007W,58.81372002841517,FFNAAR,membrane,Strain6 phenol lysis,molecular_function,transport   
145,YMR088C,131.28720777583362,IFAAAR,membrane,DDY3630 strain W303,molecular_function,transport   
146,YLR276C,13.1709925441948,IFAAAR,membrane,DDY3630 strain W303,molecular_function,transport   
147,YBL105C,12.214315720883352,IFAAAR,membrane,DDY3630 strain W303,molecular_function,transport   
148,YKL139W,37.40150809445665,AFIINC,membrane,itc1 itc1-1_dUTP,molecular_function,transport   
149,YOL095C,3.877798574838228,AFIINC,membrane,itc1 itc1-1_dUTP,molecular_function,transport   
150,YKR016W,3.703156798828565,AFIINC,membrane,itc1 itc1-1_dUTP,molecular_function,transport   
151,YDR332W,123.6925148034482,IFFABN,membrane,E2B1 ethanol,molecular_function,transport   
152,YAL005C,40.12009370241154,IFFABN,membrane,E2B1 ethanol,molecular_function,transport   
153,YDL029W,105.96503153959196,IFFABN,membrane,E2B1 ethanol,molecular_function,transport   
154,YCR086W,206.990678062696,SAARRS,membrane,wild type salt stress,molecular_function,transport   
155,YBR103W,28.1323696656152,SAARRS,membrane,wild type salt stress,molecular_function,transport   
156,YLR034C,42.72824346702225,SAARRS,membrane,wild type salt stress,molecular_function,transport   
157,YIL027C,31.579730700940846,SAABQR,membrane,37 deg temperature,molecular_function,transport   
158,YDR377W,13.315953744560757,SAABQR,membrane,37 deg temperature,molecular_function,transport   
159,YPR065W,14.312159760363306,SAABQR,membrane,37 deg temperature,molecular_function,transport   
160,YFL011W,85.52880516090832,FAFASB,membrane,tet-control strain tet-control,molecular_function,transport   
161,YBR207W,20.852406394956027,FAFASB,membrane,tet-control strain tet-control,molecular_function,transport   
162,YPR024W,8.786711806563554,FAFASB,membrane,tet-control strain tet-control,molecular_function,transport   
163,YMR190C,78.38257604386222,SAABBN,membrane,15 deg temperature,molecular_function,transport   
164,YDR532C,12.413077176805766,SAABBN,membrane,15 deg temperature,molecular_function,transport   
165,YMR145C,20.02109222065446,SAABBN,membrane,15 deg temperature,molecular_function,transport   
166,YJL198W,74.25503494839604,SAABFA,membrane,15 deg temperature,molecular_function,transport   
167,YLR130C,5.465472115491079,SAABFA,membrane,15 deg temperature,molecular_function,transport   
168,YHR059W,12.344428398781575,SAABFA,membrane,15 deg temperature,molecular_function,transport   
169,YOR272W,85.22764795413451,SAASCF,membrane,ste12 galactose,molecular_function,transport   
170,YJL089W,21.575233419383835,SAASCF,membrane,ste12 galactose,molecular_function,transport   
171,YMR110C,58.70215793294282,SAASCF,membrane,ste12 galactose,molecular_function,transport   
172,YCL032W,88.35852354513675,INICIQ,membrane,YB212 biofuel generation,molecular_function,transport   
173,YMR301C,80.41518152946284,INICIQ,membrane,YB212 biofuel generation,molecular_function,transport   
174,YCR065W,66.49202024356251,INICIQ,membrane,YB212 biofuel generation,molecular_function,transport   
175,YLL041C,61.06292527462946,IFFAFQ,membrane,G2A2 glucose,molecular_function,transport   
176,YMR205C,32.4178459123891,IFFAFQ,membrane,G2A2 glucose,molecular_function,transport   
177,YHR084W,96.83434145381744,IFFAFQ,membrane,G2A2 glucose,molecular_function,transport   
178,YOR195W,373.5012450542157,SAABRQ,membrane,wild type none,molecular_function,transport   
179,YKR087C,22.078891333254127,SAABRQ,membrane,wild type none,molecular_function,transport   
180,YAL053W,25.383215206258143,SAABRQ,membrane,wild type none,molecular_function,transport   
181,YMR201C,67.75869931432416,IFFAFB,membrane,G1B2 glucose,molecular_function,transport   
182,YGR281W,32.47259465409653,IFFAFB,membrane,G1B2 glucose,molecular_function,transport   
183,YBR137W,111.01641565858992,IFFAFB,membrane,G1B2 glucose,molecular_function,transport   
184,YKR105C,118.68171409074344,IFFABF,membrane,E1B1 ethanol,transmembrane,transport   
185,YIL013C,105.592465090358,IFFABF,membrane,E1B1 ethanol,transmembrane,transport   
186,YNL065W,662.3687078047415,IFFABF,membrane,E1B1 ethanol,transmembrane,transport   
187,YHR184W,5.973616993464511,IFFABF,membrane,E1B1 ethanol,transmembrane,transport   
188,YPR199C,36.105243886969326,IFFABF,membrane,E1B1 ethanol,transmembrane,transport   
189,YGL212W,37.24725890042578,IFFABF,endoplasm,E1B1 ethanol,transmembrane,transport   
190,YDR499W,51.44743234738,SAASCC,membrane,pbs2 galactose,transmembrane,transport   
191,YBR293W,60.82891213829733,SAASCC,membrane,pbs2 galactose,transmembrane,transport   
192,YJL004C,24.48980668311754,SAASCC,membrane,pbs2 galactose,transmembrane,transport   
193,YCR098C,13.563585239880483,SAASCC,membrane,pbs2 galactose,transmembrane,transport   
194,YPL194W,236.7599156872471,SAASCC,membrane,pbs2 galactose,transmembrane,transport   
195,YOL111C,23.28415466179483,SAASCC,endoplasm,pbs2 galactose,transmembrane,transport   
196,YLL061W,93.85039153124713,IFFAFF,membrane,G2A1 glucose,transmembrane,transport   
197,YEL032W,75.4268938739955,IFFAFF,membrane,G2A1 glucose,transmembrane,transport   
198,YIL037C,615.0894465371531,IFFAFF,membrane,G2A1 glucose,transmembrane,transport   
199,YKR036C,5.381120602860622,IFFAFF,membrane,G2A1 glucose,transmembrane,transport   
200,YOR330C,41.22485614394917,IFFAFF,membrane,G2A1 glucose,transmembrane,transport   
201,YDR004W,52.62553538729794,IFFAFF,endoplasm,G2A1 glucose,transmembrane,transport   
202,YBL023C,98.02420271210048,IFFAFA,membrane,G1A1 glucose,transmembrane,transport   
203,YGL241W,82.90604209481134,IFFAFA,membrane,G1A1 glucose,transmembrane,transport   
204,YLR340W,594.9727726804108,IFFAFA,membrane,G1A1 glucose,transmembrane,transport   
205,YIL040W,5.852191206692566,IFFAFA,membrane,G1A1 glucose,transmembrane,transport   
206,YOR030W,41.45302104740567,IFFAFA,membrane,G1A1 glucose,transmembrane,transport   
207,YOL144W,53.1574034607908,IFFAFA,endoplasm,G1A1 glucose,transmembrane,transport   
208,YOR274W,91.8223350580897,INICIA,membrane,YB210 biofuel generation,transmembrane,transport   
209,YMR104C,117.5970256007114,INICIA,membrane,YB210 biofuel generation,transmembrane,transport   
210,YKL043W,333.4600588951679,INICIA,membrane,YB210 biofuel generation,transmembrane,transport   
211,YML123C,24.16377238370782,INICIA,membrane,YB210 biofuel generation,transmembrane,transport   
212,YOR065W,341.51464968973715,INICIA,membrane,YB210 biofuel generation,transmembrane,transport   
213,YPL121C,20.94193606588011,INICIA,endoplasm,YB210 biofuel generation,transmembrane,transport   
214,YLR005W,85.11208862030684,INICIF,membrane,YB211 biofuel generation,transmembrane,transport   
215,YER185W,71.45552983033863,INICIF,membrane,YB211 biofuel generation,transmembrane,transport   
216,YGR171C,85.25003365858935,INICIF,membrane,YB211 biofuel generation,transmembrane,transport   
217,YPL075W,21.24353589550608,INICIF,membrane,YB211 biofuel generation,transmembrane,transport   
218,YNL250W,237.95519103732465,INICIF,membrane,YB211 biofuel generation,transmembrane,transport   
219,YGR121C,19.726140474398505,INICIF,endoplasm,YB211 biofuel generation,transmembrane,transport   
220,YNL267W,39.78413366797686,SAABQI,membrane,30 deg temperature,transmembrane,transport   
221,YLL019C,28.457192272173256,SAABQI,membrane,30 deg temperature,transmembrane,transport   
222,YGL200C,24.96122270556721,SAABQI,membrane,30 deg temperature,transmembrane,transport   
223,YBR142W,5.873228871898166,SAABQI,membrane,30 deg temperature,transmembrane,transport   
224,YOL115W,107.25634630347363,SAABQI,membrane,30 deg temperature,transmembrane,transport   
225,YGR096W,11.816377135128452,SAABQI,endoplasm,30 deg temperature,transmembrane,transport   
226,YNL307C,28.08405710228895,FFNAAA,membrane,Strain6 phenol lysis,transmembrane,transport   
227,YCR044C,11.076783429524088,FFNAAA,membrane,Strain6 phenol lysis,transmembrane,transport   
228,YDR280W,26.85874920079292,FFNAAA,membrane,Strain6 phenol lysis,transmembrane,transport   
229,YOR371C,1.7644433781542797,FFNAAA,membrane,Strain6 phenol lysis,transmembrane,transport   
230,YNR031C,80.28217370601972,FFNAAA,membrane,Strain6 phenol lysis,transmembrane,transport   
231,YMR270C,26.829354670117475,FFNARN,membrane,Strain6 phenol lysis,transmembrane,transport   
232,YGR217W,10.2439354194994,FFNARN,membrane,Strain6 phenol lysis,transmembrane,transport   
233,YOR375C,20.97567728754639,FFNARN,membrane,Strain6 phenol lysis,transmembrane,transport   
234,YAR002W,1.2682967662237352,FFNARN,membrane,Strain6 phenol lysis,transmembrane,transport   
235,YOR113W,98.1466574477752,FFNARN,membrane,Strain6 phenol lysis,transmembrane,transport   
236,YKL021C,34.29292290887592,FFNAAR,membrane,Strain6 phenol lysis,transmembrane,transport   
237,YCR084C,11.310330774695226,FFNAAR,membrane,Strain6 phenol lysis,transmembrane,transport   
238,YBR078W,30.13072118378808,FFNAAR,membrane,Strain6 phenol lysis,transmembrane,transport   
239,YML067C,2.262066154939045,FFNAAR,membrane,Strain6 phenol lysis,transmembrane,transport   
240,YKL203C,114.73199537850836,FFNAAR,membrane,Strain6 phenol lysis,transmembrane,transport   
241,YAL030W,16.468138196106608,FFNAAA,endoplasm,Strain6 phenol lysis,transmembrane,transport   
242,YDR517W,9.561006391532771,FFNARN,endoplasm,Strain6 phenol lysis,transmembrane,transport   
243,YPR011C,11.58177871328791,FFNAAR,endoplasm,Strain6 phenol lysis,transmembrane,transport   
244,YDL181W,19.778737114508743,IFAAAR,membrane,DDY3630 strain W303,transmembrane,transport   
245,YNL073W,20.134709885973468,IFAAAR,membrane,DDY3630 strain W303,transmembrane,transport   
246,YOR259C,59.88129464983159,IFAAAR,membrane,DDY3630 strain W303,transmembrane,transport   
247,YAL022C,2.70316823331025,IFAAAR,membrane,DDY3630 strain W303,transmembrane,transport   
248,YBL005W,35.7307669357717,IFAAAR,membrane,DDY3630 strain W303,transmembrane,transport   
249,YOL086C,11.969584440501354,IFAAAR,endoplasm,DDY3630 strain W303,transmembrane,transport   
250,YER177W,4.446792748289068,AFIINC,membrane,itc1 itc1-1_dUTP,transmembrane,transport   
251,YMR280C,4.467449302440748,AFIINC,membrane,itc1 itc1-1_dUTP,transmembrane,transport   
252,YGR197C,1.3407981512999974,AFIINC,membrane,itc1 itc1-1_dUTP,transmembrane,transport   
253,YNL291C,0.5070245109957974,AFIINC,membrane,itc1 itc1-1_dUTP,transmembrane,transport   
254,YDR488C,14.196686307882326,AFIINC,membrane,itc1 itc1-1_dUTP,transmembrane,transport   
255,YGL246C,1.496661241717224,AFIINC,endoplasm,itc1 itc1-1_dUTP,transmembrane,transport   
256,YHR006W,106.7647676266832,IFFABN,membrane,E2B1 ethanol,transmembrane,transport   
257,YFL020C,106.89805697453174,IFFABN,membrane,E2B1 ethanol,transmembrane,transport   
258,YLL024C,605.8000859716294,IFFABN,membrane,E2B1 ethanol,transmembrane,transport   
259,YOR244W,7.330914131669883,IFFABN,membrane,E2B1 ethanol,transmembrane,transport   
260,YLR014C,29.32365652667953,IFFABN,membrane,E2B1 ethanol,transmembrane,transport   
261,YPL232W,44.252063485716384,IFFABN,endoplasm,E2B1 ethanol,transmembrane,transport   
262,YKL221W,55.59772359299407,SAARRS,membrane,wild type salt stress,transmembrane,transport   
263,YNL328C,82.35682556224032,SAARRS,membrane,wild type salt stress,transmembrane,transport   
264,YHL007C,25.483924822617958,SAARRS,membrane,wild type salt stress,transmembrane,transport   
265,YDR446W,8.023806968784251,SAARRS,membrane,wild type salt stress,transmembrane,transport   
266,YER126C,426.5958008220381,SAARRS,membrane,wild type salt stress,transmembrane,transport   
267,YGR252W,24.1695114560934,SAARRS,endoplasm,wild type salt stress,transmembrane,transport   
268,YLR228C,78.83310271717515,SAABQR,membrane,37 deg temperature,transmembrane,transport   
269,YPR149W,25.934563278059727,SAABQR,membrane,37 deg temperature,transmembrane,transport   
270,YHR205W,13.083505674206828,SAABQR,membrane,37 deg temperature,transmembrane,transport   
271,YJL103C,6.508545969909996,SAABQR,membrane,37 deg temperature,transmembrane,transport   
272,YGR224W,72.39097048165199,SAABQR,membrane,37 deg temperature,transmembrane,transport   
273,YGL043W,12.120506525597696,SAABQR,endoplasm,37 deg temperature,transmembrane,transport   
274,YDL167C,20.916542977485687,FAFASB,membrane,tet-control strain tet-control,transmembrane,transport   
275,YHR178W,14.313147334536009,FAFASB,membrane,tet-control strain tet-control,transmembrane,transport   
276,YPL240C,29.013786521855387,FAFASB,membrane,tet-control strain tet-control,transmembrane,transport   
277,YLR413W,2.9422657235481973,FAFASB,membrane,tet-control strain tet-control,transmembrane,transport   
278,YCL069W,28.16664916094278,FAFASB,membrane,tet-control strain tet-control,transmembrane,transport   
279,YHL040C,4.414734764124997,FAFASB,endoplasm,tet-control strain tet-control,transmembrane,transport   
280,YLR373C,32.484222128011865,SAABBN,membrane,15 deg temperature,transmembrane,transport   
281,YJR152W,25.22657619802462,SAABBN,membrane,15 deg temperature,transmembrane,transport   
282,YDL022W,31.433114786427502,SAABBN,membrane,15 deg temperature,transmembrane,transport   
283,YKL146W,2.903058371994897,SAABBN,membrane,15 deg temperature,transmembrane,transport   
284,YPR128C,49.0016232100518,SAABBN,membrane,15 deg temperature,transmembrane,transport   
285,YGL013C,25.348482742536213,SAABFA,membrane,15 deg temperature,transmembrane,transport   
286,YJL154C,20.11859132167837,SAABFA,membrane,15 deg temperature,transmembrane,transport   
287,YBR052C,16.961810013593006,SAABFA,membrane,15 deg temperature,transmembrane,transport   
288,YKL160W,2.968316752378776,SAABFA,membrane,15 deg temperature,transmembrane,transport   
289,YPL006W,66.3395236087193,SAABFA,membrane,15 deg temperature,transmembrane,transport   
290,YOR334W,5.005273055163615,SAABBN,endoplasm,15 deg temperature,transmembrane,transport   
291,YDL239C,4.476033198031487,SAABFA,endoplasm,15 deg temperature,transmembrane,transport   
292,YKR001C,55.46039697246688,SAASCF,membrane,ste12 galactose,transmembrane,transport   
293,YAR008W,67.22273234932892,SAASCF,membrane,ste12 galactose,transmembrane,transport   
294,YPR021C,9.287207075958117,SAASCF,membrane,ste12 galactose,transmembrane,transport   
295,YKL080W,12.33183392397269,SAASCF,membrane,ste12 galactose,transmembrane,transport   
296,YIR025W,153.85222288096656,SAASCF,membrane,ste12 galactose,transmembrane,transport   
